,freq,ngrams
0,7162491,ie
1,4558044,ni
2,3746272,ie^
3,2444931,sz
4,2247155,st
5,2193979,^ni
6,2164133,wi
7,2157143,na
8,2020764,je
9,2002589,dz
10,2002324,ze
11,1987683,cz
12,1971039,rz
13,1949476,po
14,1793704,ci
15,1776528,zy
16,1755543,ta
17,1744502,ię
18,1725690,pr
19,1695175,es
20,1691792,to
21,1684695,zi
22,1659442,ch
23,1649833,za
24,1618396,^po
25,1612629,ra
26,1471361,si
27,1470376,em
28,1415145,am
29,1405882,^je
30,1357531,ro
31,1337623,ał
32,1321564,^na
33,1320140,^pr
34,1303714,ow
35,1292750,ia
36,1287487,to^
37,1266036,ak
38,1264325,mi
39,1264006,^to
40,1254372,te
41,1238523,do
42,1236843,ię^
43,1182688,an
44,1165597,ko
45,1128234,go
46,1108947,wa
47,1096175,em^
48,1081769,^si
49,1075728,od
50,1073169,ob
51,1034417,^do
52,1033076,^za
53,1024010,że
54,1018504,na^
55,1009557,ła
56,1005747,le
57,990334,ma
58,990324,ja
59,921643,ki
60,909154,mo
61,907462,as
62,907436,ej
63,907035,go^
64,906752,my
65,902026,sz^
66,899819,li
67,887784,by
68,871026,al
69,869646,ac
70,865695,ka
71,859934,er
72,849205,bi
73,839129,ty
74,828278,eg
75,822474,aj
76,804304,^wi
77,788969,os
78,782447,am^
79,773198,wy
80,772413,ar
81,771192,ak^
82,759181,ed
83,753994,^ta
84,751042,on
85,750413,en
86,744551,że^
87,738549,co
88,732473,aw
89,726909,^ja
90,722970,pa
91,696927,^ma
92,688088,^mo
93,681363,my^
94,678651,^co
95,671337,tr
96,666938,eś
97,660267,łe
98,649216,^że
99,648934,ej^
100,648601,da
101,648252,ym
102,632089,ło
103,630857,ad
104,628545,^cz
105,618105,^mi
106,616418,^ch
107,614788,ec
108,593291,wo
109,585615,la
110,582317,^te
111,574422,ne
112,566176,pi
113,564654,^wy
114,559686,^ty
115,549553,at
116,548759,co^
117,542898,ny
118,542864,st^
119,540021,or
120,538802,ys
121,531357,no
122,530317,ch^
123,525915,ać
124,524048,ać^
125,512147,^ci
126,505966,ic
127,495084,^pa
128,493756,zn
129,492176,^by
130,488080,oj
131,487717,ek
132,483797,oc
133,477280,ze^
134,473939,ym^
135,473508,sp
136,472149,in
137,463174,is
138,457480,yc
139,456068,mu
140,455735,oś
141,449715,ów
142,446804,br
143,446089,zy^
144,445297,ku
145,444305,le^
146,440900,ił
147,438106,ba
148,435548,ce
149,432967,dy
150,430058,mi^
151,429474,do^
152,428446,uj
153,427329,az
154,426889,ot
155,425851,ył
156,419769,tu
157,418037,ws
158,416984,om
159,406901,zo
160,404468,mn
161,397969,^dz
162,390799,ko^
163,390492,^ko
164,388581,ok
165,388071,im
166,386085,oż
167,383237,ol
168,381888,eś^
169,380504,us
170,380064,tw
171,379712,kt
172,375700,^ro
173,373918,el
174,371788,^st
175,370045,ny^
176,367587,ją
177,367212,sk
178,366169,^sp
179,366025,og
180,363392,ry
181,359202,zę
182,352722,eb
183,349153,li^
184,348408,śl
185,347123,re
186,346502,ła^
187,344469,oz
188,341219,aj^
189,339043,je^
190,337854,^od
191,336237,ia^
192,327841,śc
193,325557,dn
194,325504,ki^
195,322668,ci^
196,321295,tk
197,321208,ić
198,321188,ić^
199,320355,ho
200,317190,mó
201,315092,^al
202,312231,^mn
203,311540,^ws
204,310617,za^
205,307967,ał^
206,304539,bo
207,302410,ja^
208,301575,ąd
209,295729,ęd
210,294957,ią
211,293781,yś
212,292153,dy^
213,290948,we
214,290227,ne^
215,288729,hc
216,286794,ka^
217,284454,ap
218,280743,ję
219,278214,zu
220,276881,ty^
221,276842,ew
222,275623,ło^
223,272065,de
224,271777,op
225,269138,zę^
226,266498,ab
227,265994,^sz
228,265864,by^
229,265309,et
230,263124,ły
231,262446,uc
232,260517,sa
233,260479,^mu
234,260360,^mó
235,258700,ca
236,257950,ęc
237,257215,ją^
238,256255,ró
239,252250,ha
240,251915,ez
241,250526,sł
242,249650,ży
243,248028,ni^
244,246891,wn
245,246854,yl
246,246642,^kt
247,246595,iś
248,246420,yn
249,246282,lu
250,245970,dl
251,245279,^go
252,243896,aż
253,243572,kr
254,243311,ść
255,240313,ść^
256,237966,lk
257,237739,gd
258,237686,cy
259,237394,il
260,235146,yć
261,234910,yć^
262,234843,śm
263,234210,ów^
264,231533,ór
265,231115,^pi
266,231068,zw
267,230620,^tu
268,230297,ep
269,228686,zc
270,227832,bę
271,227316,ję^
272,226683,tu^
273,224263,id
274,224195,io
275,223886,uż
276,223371,ud
277,221047,ój
278,216769,^zn
279,215842,łu
280,215729,^ra
281,213479,yw
282,213119,^dl
283,211889,im^
284,211600,yj
285,211046,^bę
286,210283,tó
287,208826,ku^
288,206480,ga
289,206433,ną
290,204917,ru
291,204652,pe
292,204494,no^
293,204111,oś^
294,201353,zą
295,201312,cj
296,200649,^tr
297,197851,um
298,197325,^ki
299,194179,ut
300,194134,so
301,193333,ąc
302,193174,mu^
303,191764,ju
304,191660,^da
305,191303,aś
306,191178,zł
307,191145,zr
308,190027,nt
309,189496,^tw
310,187885,ma^
311,187872,wd
312,187603,^no
313,187523,ik
314,187406,ra^
315,186255,gł
316,184789,yb
317,183515,dr
318,182584,ur
319,180598,^zr
320,180526,ta^
321,180214,wa^
322,178059,az^
323,177901,^ba
324,177549,rd
325,176261,ln
326,175881,^zo
327,174839,^gd
328,174404,gr
329,173956,ry^
330,173045,iw
331,171736,^on
332,171347,dę
333,170818,dę^
334,170458,^my
335,169304,yk
336,168800,ęk
337,166894,eż
338,166809,la^
339,166236,cy^
340,165669,^bo
341,165265,^ka
342,164935,yt
343,164129,ce^
344,163539,zk
345,162410,lo
346,162370,du
347,160214,zm
348,159018,dź
349,158602,ek^
350,158307,^wa
351,158241,^ju
352,156491,en^
353,156320,eć
354,155610,ój^
355,155526,tn
356,153686,eć^
357,153382,nn
358,152529,^sa
359,151409,as^
360,150634,^sk
361,149875,ża
362,147614,rw
363,147245,an^
364,146230,po^
365,144519,da^
366,143591,ły^
367,142954,bu
368,142352,^ob
369,141412,se
370,140420,ną^
371,140050,me
372,138758,uż^
373,137941,wc
374,136243,up
375,135594,rt
376,134102,^sł
377,133785,zd
378,132819,su
379,132179,dk
380,131942,od^
381,131731,dł
382,131697,^lu
383,129546,^ze
384,129356,pó
385,129229,be
386,129084,są
387,127369,sy
388,127131,wr
389,126280,wy^
390,125465,on^
391,125306,zi^
392,125256,św
393,124439,ag
394,123589,gi
395,122944,nk
396,122912,iu
397,121325,^są
398,120770,ił^
399,120447,oi
400,119894,uk
401,119877,wł
402,119355,ij
403,119081,^in
404,118169,yg
405,118048,ką
406,117045,^le
407,116394,^dr
408,115305,^ży
409,115244,gl
410,114306,sc
411,114277,gę
412,113670,ył^
413,113469,nu
414,113359,dź^
415,112416,^kr
416,112266,^wł
417,112195,ez^
418,112078,gę^
419,111414,tę
420,111388,^os
421,111276,pu
422,108823,^pe
423,108061,oł
424,108011,ub
425,107513,kł
426,106991,cę
427,106941,cę^
428,106873,wó
429,106726,kę
430,106578,żn
431,106555,kę^
432,106531,^so
433,106011,ęc^
434,105876,śn
435,105436,^św
436,105083,it
437,104378,ba^
438,103715,fi
439,103095,^br
440,102917,rę
441,102602,js
442,102271,nę
443,101309,jc
444,100538,^ok
445,100438,ęt
446,99443,aś^
447,99046,ic^
448,99007,ńc
449,98874,sw
450,98653,dw
451,98347,jd
452,98036,ią^
453,97948,^sw
454,97758,yd
455,96514,oń
456,96403,fa
457,96041,yp
458,94960,un
459,94649,ób
460,94122,bo^
461,93176,kn
462,93079,^zd
463,92696,rc
464,92655,^wr
465,91602,^ku
466,91490,ca^
467,91131,są^
468,90692,^oc
469,90504,ks
470,89920,ig
471,89544,eż^
472,89329,óc
473,88034,eń
474,87161,^ca
475,87035,wi^
476,86938,he
477,85740,bl
478,85597,ań
479,84499,^gr
480,84251,^we
481,84128,cu
482,84042,lą
483,83802,^la
484,83629,^wo
485,83380,we^
486,83049,jn
487,83014,rz^
488,82927,^be
489,82913,tą
490,82641,^se
491,81981,kó
492,81805,^bi
493,81792,iu^
494,81694,ri
495,81415,uw
496,81322,wo^
497,81039,zo^
498,80979,^gł
499,80850,ug
500,80718,^rz
501,80439,rk
502,80325,lę
503,79435,et^
504,79173,yś^
505,79084,^id
506,78990,zg
507,77776,óż
508,76971,ąd^
509,76552,^du
510,76359,te^
511,75458,pl
512,75173,żo
513,74720,kl
514,74194,zb
515,73908,gn
516,73828,at^
517,73499,jm
518,73346,łb
519,73263,ro^
520,71451,bą
521,70960,zą^
522,70892,^zw
523,70773,ką^
524,70680,ji
525,70582,nę^
526,70029,^pó
527,69932,^ją
528,69597,ji^
529,69402,pł
530,69359,ps
531,69336,sn
532,69109,^fa
533,68644,py
534,68271,rn
535,68069,lę^
536,67486,^op
537,66708,au
538,65969,^uw
539,65442,^zł
540,64966,hy
541,64956,^zm
542,64854,nd
543,64465,wk
544,64449,cz^
545,64379,ns
546,63778,łą
547,63690,^wc
548,63640,ul
549,63441,zp
550,62428,^ic
551,61968,^he
552,61180,^re
553,61170,rs
554,61112,zt
555,60286,ół
556,60265,rm
557,59497,eń^
558,59304,^uc
559,59299,^ża
560,58555,^zg
561,58352,ól
562,58257,eź
563,57647,^dw
564,57400,ec^
565,57229,có
566,56961,ąć
567,56959,ąć^
568,56727,ij^
569,56604,ńs
570,56462,^im
571,56321,ąt
572,56267,yz
573,56216,bą^
574,56150,fo
575,56000,iz
576,55781,^um
577,55562,^us
578,55374,ęż
579,55337,aż^
580,55071,żd
581,55063,^li
582,54933,łk
583,54770,dp
584,54435,tę^
585,54397,nc
586,54323,gó
587,54142,ck
588,54048,ok^
589,53346,er^
590,53246,^sy
591,53103,źn
592,53086,ąc^
593,53080,iż
594,52781,ąg
595,52331,jś
596,52086,ód
597,51947,mę
598,51891,gu
599,51405,eł
600,51080,rą
601,50992,ąż
602,50685,^zb
603,49332,re^
604,49272,dc
605,48395,hw
606,48100,mp
607,47961,hę
608,47903,zj
609,47632,^de
610,47206,ad^
611,47050,łó
612,46935,hł
613,46822,ir
614,46765,lu^
615,46705,di
616,46509,su^
617,45946,^ud
618,45791,^śm
619,45754,of
620,45735,lb
621,45694,jr
622,45562,óg
623,45472,^ła
624,45381,dą
625,45305,om^
626,44934,ęś
627,44827,si^
628,44781,łn
629,44767,^pu
630,44468,^pl
631,44420,^ot
632,44332,ął
633,44129,wu
634,44020,iś^
635,43916,tą^
636,43535,^ga
637,43364,^oj
638,43222,ga^
639,43091,mo^
640,43060,wę
641,43025,du^
642,42968,ge
643,42850,uś
644,42817,^kl
645,42285,^og
646,42277,ęp
647,42051,óż^
648,42045,wą
649,41857,hę^
650,41467,hi
651,41400,jo
652,41084,^bu
653,41061,wz
654,40956,^su
655,40844,rę^
656,40605,af
657,40577,ób^
658,40566,łe^
659,40563,uz
660,40250,kt^
661,40243,ef
662,40137,uj^
663,39938,^an
664,39552,cą
665,39414,kc
666,39324,^me
667,38728,nu^
668,38703,^ró
669,38301,ań^
670,38278,^dn
671,38142,bó
672,37900,cą^
673,37690,^wz
674,37562,yr
675,37368,^có
676,36995,^ur
677,36874,wt
678,36822,^fi
679,36409,dd
680,36392,żk
681,36147,só
682,36089,ds
683,36030,dą^
684,35949,gi^
685,35680,^dł
686,35674,pn
687,35648,^ru
688,35628,mk
689,35377,ży^
690,35262,wę^
691,35091,dz^
692,34920,bn
693,34807,^ab
694,34745,pc
695,34650,^ce
696,34551,^zi
697,34454,ng
698,34333,bł
699,34148,ód^
700,33837,nó
701,33786,^ha
702,33682,uł
703,33673,nt^
704,33612,fe
705,33553,cu^
706,33506,al^
707,33206,óź
708,33020,bc
709,32933,^pł
710,32580,ęł
711,32437,wą^
712,32348,^lo
713,31961,lc
714,31871,ed^
715,31670,iż^
716,31517,sy^
717,31283,zu^
718,31221,hu
719,31171,bi^
720,31023,bk
721,30965,ii
722,30892,^żo
723,30887,^tę
724,30822,^py
725,30776,oc^
726,30715,ju^
727,30593,ii^
728,30522,wp
729,30435,el^
730,30264,^wp
731,30026,ik^
732,29855,^gó
733,29812,ió
734,28567,lw
735,28512,^kł
736,28315,or^
737,28304,źl
738,28228,^śl
739,28198,^uk
740,27813,dł^
741,27801,^wt
742,27644,śr
743,27537,^mę
744,27465,ąz
745,27384,rą^
746,27227,^rę
747,27158,sm
748,26882,ął^
749,26789,^ks
750,26753,źm
751,26714,ół^
752,26630,^il
753,26283,ib
